country_name,country_code,year,electricity_access_pct,access_gap_pct,is_nigeria,gdp_usd,gdp_billion_usd,gdp_growth_rate_pct,gdp_per_capita_usd,energy_use_per_capita
Kenya,KEN,2012,38.1,61.9,False,56396704671.5777,56.396704671577695,20.327157274315777,1285.00536171512,462.749845582612
Kenya,KEN,2013,40.1,59.9,False,61671440407.8387,61.6714404078387,9.352914797022382,1370.87885214659,471.435474475568
Kenya,KEN,2014,36.0,64.0,False,68285796514.2896,68.2857965142896,10.725152619607359,1482.81566253497,497.485664126512
Kenya,KEN,2015,41.6,58.4,False,70120446896.8359,70.1204468968359,2.686723266327262,1489.11959777284,530.458901047223
Kenya,KEN,2016,53.1,46.9,False,74815144163.8931,74.8151441638931,6.695190168944909,1554.12610314423,533.407778503543
Kenya,KEN,2017,55.8,44.2,False,82036510877.2599,82.0365108772599,9.652279353425275,1667.48447230835,538.606903918261
Kenya,KEN,2018,61.2,38.8,False,92202979985.2863,92.2029799852863,12.392615189640498,1836.45275528993,546.495296692888
Kenya,KEN,2019,69.7,30.299999999999997,False,100378436207.371,100.378436207371,8.866802595088942,1960.40808854893,543.883187157453
Kenya,KEN,2020,71.5,28.5,False,100657505750.545,100.657505750545,0.2780174245766043,1927.66459027849,534.753957479746
Kenya,KEN,2021,76.5,23.5,False,109703658904.994,109.703658904994,8.98706270038887,2061.35622089594,539.778643234306
Kenya,KEN,2022,76.0,24.0,False,114448978152.637,114.448978152637,4.325579743655172,2109.56288513137,541.12804988998
Nigeria,NGA,2000,43.2,56.8,True,69171451627.2465,69.17145162724651,,547.318298903379,274.074132064522
Nigeria,NGA,2001,43.9,56.1,True,73557840064.489,73.557840064489,6.341327721268608,566.428231812933,283.010546626806
Nigeria,NGA,2002,44.6,55.4,True,95054059302.6995,95.0540593026995,29.223559608825546,712.164852077686,283.767136886797
Nigeria,NGA,2003,52.2,47.8,True,104738954264.226,104.738954264226,10.188828370480184,763.388745367223,296.852571416246
Nigeria,NGA,2004,46.1,53.9,True,135764731645.611,135.764731645611,29.62200415245311,962.48104194733,286.383177568012
Nigeria,NGA,2005,46.8,53.2,True,175670569969.346,175.67056996934602,29.393376203108403,1211.37703504386,305.406217610864
Nigeria,NGA,2006,47.6,52.4,True,238454997161.48,238.45499716148,35.73986650301737,1599.53891556365,287.970022263625
Nigeria,NGA,2007,50.1,49.9,True,278260846800.103,278.260846800103,16.69323357130854,1815.52697545827,281.735044345631
Nigeria,NGA,2008,50.3,49.7,True,339476276257.793,339.476276257793,21.999296761166676,2154.10543545364,287.532726671296
Nigeria,NGA,2009,50.0,50.0,True,295008835380.997,295.008835380997,-13.098836056228013,1820.48633854782,260.777838499638
Nigeria,NGA,2010,48.0,52.0,True,366990417129.04,366.99041712904,24.399805400770603,2202.25672957344,335.074608295017
Nigeria,NGA,2011,55.9,44.1,True,414466676831.16,414.46667683116,12.936648339083611,2418.41316975875,376.552072943772
Nigeria,NGA,2012,53.0,47.0,True,463971018239.281,463.971018239281,11.944106529048536,2633.19734671361,357.338084625584
Nigeria,NGA,2013,55.6,44.4,True,520117180313.906,520.117180313906,12.101221815037832,2872.79083379398,351.718781805646
Nigeria,NGA,2014,54.2,45.8,True,574183763411.508,574.183763411508,10.395077329491652,3088.72131316169,349.237811590683
Nigeria,NGA,2015,52.5,47.5,True,493026682800.63,493.02668280063,-14.134339175438182,2585.73360671797,320.318542380023
Nigeria,NGA,2016,59.3,40.7,True,404649125252.16,404.64912525216,-17.925512072986137,2070.4127339595,331.486140542982
Nigeria,NGA,2017,54.4,45.6,True,375745731053.427,375.745731053427,-7.1428287854870876,1876.34027111773,316.730326522651
Nigeria,NGA,2018,56.5,43.5,True,421739251509.08,421.73925150908,12.240596939506743,2057.87944554011,300.45746967174
Nigeria,NGA,2019,55.4,44.6,True,668219992691.462,668.219992691462,58.44387030621818,3189.81286498516,331.04474710561
Nigeria,NGA,2020,55.4,44.6,True,598586817819.073,598.586817819073,-10.420696123131535,2797.18458068686,324.45517224141
Nigeria,NGA,2021,59.5,40.5,True,609147716972.859,609.147716972859,1.7643053337299097,2787.48779224428,334.476501487262
Nigeria,NGA,2022,60.5,39.5,True,646950257577.814,646.950257577814,6.205808468398022,2899.16047470324,333.698006196423
South Africa,ZAF,2000,72.4,27.599999999999994,False,151752757215.309,151.752757215309,,3217.84693448467,2269.37063464901
South Africa,ZAF,2001,70.2,29.799999999999997,False,135429905922.526,135.429905922526,-10.756213984055584,2847.15191945908,2180.26593384169
South Africa,ZAF,2002,76.7,23.299999999999997,False,129087556612.449,129.087556612449,-4.683123174954574,2688.23676032806,2072.05766349373
South Africa,ZAF,2003,78.8,21.200000000000003,False,197018965308.697,197.01896530869698,52.62428887719515,4062.21755993786,2300.85052603256
South Africa,ZAF,2004,80.6,19.400000000000006,False,255806908594.573,255.806908594573,29.838722984746546,5221.46333731721,2478.00378605228
